year,number
2003,18
2004,9
2005,5
2006,0
2007,14
2008,1
2009,32
2010,10
2011,1
2012,18
2013,9
2014,28
2015,61
2016,12
1998,0
1999,14
2000,10
2001,29
2002,12
2003,14
2004,10
2005,27
2006,85
2007,28
2008,23
2009,30
2010,59
2011,39
2012,21
2013,33
2014,80
2015,118
2016,52
2017,53
1998,0
1999,334
2000,11
2001,9
2002,9
2003,47
2004,11
2005,84
2006,21
2007,13
2008,25
2009,29
2010,86
2011,45
2012,37
2013,86
2014,44
2015,53
2016,117
2017,75
1998,0
1999,1
2000,4
2001,10
2002,48
2003,29
2004,36
2005,36
2006,29
2007,49
2008,20
2009,32
2010,65
2011,19
2012,57
2013,79
2014,80
2015,76
2016,136
2017,115
1998,0
1999,25
2000,16
2001,49
2002,78
2003,87
2004,32
2005,55
2006,22
2007,17
2008,36
2009,11
2010,105
2011,71
2012,89
2013,42
2014,138
2015,89
2016,167
2017,60
1998,0
1999,99
2000,58
2001,85
2002,171
2003,57
2004,157
2005,164
2006,33
2007,94
2008,41
2009,104
2010,239
2011,136
2012,103
2013,150
2014,210
2015,129
2016,233
2017,135
1998,172
1999,250
2000,222
2001,212
2002,302
2003,321
2004,422
2005,189
2006,70
2007,186
2008,55
2009,179
2010,278
2011,314
2012,245
2013,192
2014,318
2015,277
2016,289
2017,442
1998,512
1999,311
2000,332
2001,371
2002,686
2003,322
2004,778
2005,363
2006,169
2007,399
2008,193
2009,470
2010,941
2011,607
2012,564
2013,350
2014,446
2015,347
2016,837
2017,577
1998,2.218
1999,1.198
2000,925
2001,787
2002,1.428
2003,902
2004,1.498
2005,639
2006,588
2007,2.382
2008,568
2009,647
2010,2.914
2011,1.613
2012,912
2013,488
2014,1.255
2015,943
2016,1.032
2017,1.492
1998,2.867
1999,1.898
2000,1.293
2001,1.863
2002,3.52
2003,1.662
2004,2.965
2005,1.341
2006,1.463
2007,3.745
2008,1.255
2009,685
2010,5.075
2011,2.259
2012,2.452
2013,684
2014,1.687
2015,2.296
2016,1.703
2017,3.238
1998,1.034
1999,743
2000,905
2001,479
2002,1.367
2003,1.183
2004,1.275
2005,1.717
2006,178
2007,1.195
2008,1.231
2009,367
2010,1.227
2011,476
2012,1.524
2013,606
2014,1.947
2015,1.807
2016,522
2017,2.401
1998,47
1999,110
2000,26
2001,15
2002,192
2003,168
2004,291
2005,144
2006,91
2007,79
2008,90
2009,89
2010,67
2011,59
2012,57
2013,183
2014,181
2015,547
2016,123
2017,117
1998,13
1999,20
2000,6
2001,18
2002,115
2003,129
2004,56
2005,5
2006,7
2007,16
2008,6
2009,39
2010,48
2011,39
2012,93
2013,86
2014,68
2015,179
2016,64
1998,0
1999,54
2000,19
2001,29
2002,48
2003,436
2004,241
2005,450
2006,221
2007,428
2008,121
2009,240
2010,319
2011,124
2012,326
2013,209
2014,195
2015,494
2016,412
2017,187
1998,0
1999,6
2000,11
2001,1
2002,116
2003,11
2004,22
2005,56
2006,22
2007,13
2008,45
2009,20
2010,93
2011,9
2012,46
2013,62
2014,29
2015,95
2016,318
2017,47
1998,0
1999,17
2000,6
2001,0
2002,16
2003,16
2004,18
2005,9
2006,14
2007,52
2008,4
2009,33
2010,82
2011,22
2012,49
2013,30
2014,59
2015,53
2016,113
2017,32
1998,0
1999,4
2000,6
2001,2
2002,28
2003,79
2004,44
2005,43
2006,9
2007,5
2008,26
2009,14
2010,128
2011,37
2012,97
2013,62
2014,78
2015,119
2016,113
